StockID,StockName,Exchange,Category_code,Category,Reference,ShareCapital,Total_Shares,MarketCapital,Chairman,DayTrade
2035,唐榮,OTC,10,鋼鐵工業,32.9,3500000000.0,350000.0,11500000000.0,吳豐盛,Yes
2038,海光,TSE,10,鋼鐵工業,20.6,1900000000.0,190300.0,3940000000.0,黃韋翰,Yes
2049,上銀,TSE,05,電機機械,231.5,3540000000.0,353800.0,83800000000.0,卓文恒,Yes
2059,川湖,TSE,28,電子零組件,1280.0,953000000.0,95300.0,122900000000.0,林聰吉,Yes
2061,風青,OTC,06,電器電纜,23.35,471000000.0,47100.0,1080000000.0,陳福得,Yes
2062,橋椿,TSE,38,居家生活,31.05,2000000000.0,200000.0,6250000000.0,楊慶祺,Yes
2063,世鎧,OTC,10,鋼鐵工業,53.7,496000000.0,49600.0,2690000000.0,杜泰源,Yes
2064,晉椿,OTC,10,鋼鐵工業,15.05,696000000.0,69600.0,1050000000.0,陳譽,Yes
2065,世豐,OTC,10,鋼鐵工業,64.5,534000000.0,56900.0,3660000000.0,杜泰源,Yes
2066,世德,OTC,05,電機機械,138.0,422000000.0,42200.0,5640000000.0,陳光裕,Yes
2067,嘉鋼,OTC,05,電機機械,12.2,451000000.0,45100.0,546000000.0,曹光照,No
2069,運錩,TSE,10,鋼鐵工業,16.8,1660000000.0,166400.0,2790000000.0,顏德和,Yes
2070,精湛,OTC,05,電機機械,33.65,358000000.0,35800.0,1180000000.0,吳俊男,Yes
2071,震南鐵,OES,10,鋼鐵工業,28.57,600000000.0,60000.0,1750000000.0,黃錦榮,No
2072,世紀風電,OES,10,鋼鐵工業,415.89,1400000000.0,140000.0,56900000000.0,賴文祥,No
2073,雄順,OTC,10,鋼鐵工業,30.9,275000000.0,27500.0,847000000.0,陳啟祥,No
2101,南港,TSE,11,橡膠工業,55.6,8340000000.0,833900.0,48300000000.0,郭林諒,Yes
2102,泰豐,TSE,11,橡膠工業,20.25,4730000000.0,473300.0,9730000000.0,郭林諒,Yes
2103,台橡,TSE,11,橡膠工業,24.65,8260000000.0,825700.0,20400000000.0,殷琪,Yes
2104,國際中橡,TSE,11,橡膠工業,18.1,9850000000.0,984700.0,17800000000.0,辜公怡,Yes
2105,正新,TSE,11,橡膠工業,52.2,32400000000.0,3241000.0,172400000000.0,陳榮華,Yes
2106,建大,TSE,11,橡膠工業,35.0,9550000000.0,954900.0,33800000000.0,楊啟仁,Yes
2107,厚生,TSE,11,橡膠工業,26.65,3040000000.0,303600.0,8120000000.0,徐正材,Yes
2108,南帝,TSE,11,橡膠工業,33.2,4920000000.0,492400.0,16700000000.0,楊東源,Yes
2109,華豐,TSE,11,橡膠工業,17.85,2790000000.0,279300.0,4990000000.0,沈國榮,Yes
2114,鑫永銓,TSE,11,橡膠工業,107.5,780000000.0,78000.0,8350000000.0,林季進,Yes
2115,六暉-KY,TSE,12,汽車工業,32.85,994000000.0,99400.0,3260000000.0,許廉凱,Yes
2201,裕隆,TSE,12,汽車工業,71.4,10700000000.0,1070000.0,76800000000.0,嚴陳莉蓮,Yes
